OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
5357,PETROL STATION,,BP ARTARMON,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,422 PACIFIC HIGHWAY,ARTARMON ,2066,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,422 PACIFIC HIGHWAY,GANSW717221488,0,LANE COVE NORTH,2066,341.4
5358,PETROL STATION,,SPEEDWAY KENT ROAD,SPEEDWAY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,38 KENT ROAD,NORTH RYDE,2113,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,38 KENT ROAD,GANSW710873985,0,NORTH RYDE,2113,0
5359,PETROL STATION,,COLES EXPRESS DOYALSON NORTH,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,260 PACIFIC HIGHWAY,DOYALSON NORTH,2262,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,260 PACIFIC HIGHWAY,GANSW717380567,1,DOYALSON NORTH,2262,83.7
5360,PETROL STATION,,MOBIL GUNNING,MOBIL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,56 YASS STREET,GUNNING ,2581,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,56 YASS STREET,GANSW704933368,2,GUNNING,2581,13.5
5361,PETROL STATION,,COLES EXPRESS LAVINGTON,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,575 WAGGA ROAD,LAVINGTON ,2641,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,575 WAGGA ROAD,GANSW705173491,1,LAVINGTON,2641,38.6
5362,PETROL STATION,,TABULAM RURAL AGENTS,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,8611 BRUXNER HIGHWAY,TABULAM ,2469,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,8611 BRUXNER HIGHWAY,GANSW717513172,0,TABULAM,2469,29.5
5363,PETROL STATION,,SHELL YAMBA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,189 YAMBA ROAD,YAMBA ,2464,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,189 YAMBA ROAD,GANSW706383546,2,YAMBA,2464,0
5364,PETROL STATION,,INDEPENDENT LIBERTY SOUTH GRAFTON,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,174 RYAN STREET,SOUTH GRAFTON,2460,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,174 RYAN STREET,GANSW712204474,1,SOUTH GRAFTON,2460,206.7
5365,PETROL STATION,,AMPOL VILLAWOOD,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,276 MILLER ROAD,VILLAWOOD ,2163,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,276 MILLER ROAD,GANSW711213418,1,VILLAWOOD,2163,0
5366,PETROL STATION,,SUSSEX INLET SERVICE STATION,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 JACOBS DRIVE,SUSSEX INLET,2540,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,1 JACOBS DRIVE,GANSW705984123,2,SUSSEX INLET,2540,1.1
5367,PETROL STATION,,CALTEX WOOLWORTHS BOMADERRY,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,272 PRINCES HIGHWAY,BOMADERRY ,2541,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,272 PRINCES HIGHWAY,GANSW704169671,1,BOMADERRY,2541,11.6
5368,PETROL STATION,,UNITED MAYFIELD WEST,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,86-88 MAITLAND ROAD,MAYFIELD ,2304,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,86-88 MAITLAND ROAD,GANSW716408276,0,MAYFIELD,2304,12.1
5369,PETROL STATION,,LIBERTY FOODMART,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,54 BALLINA ROAD,LISMORE ,2480,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,54 BALLINA ROAD,GANSW717280917,2,LISMORE,2480,0
5370,PETROL STATION,,BP RIVERWOOD,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,189-191 BELMORE ROAD,RIVERWOOD ,2210,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,189-191 BELMORE ROAD,GANSW716869434,0,RIVERWOOD,2210,0
5371,PETROL STATION,,MOBIL MUSWELLBROOK NORTH,MOBIL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,147 BRIDGE STREET,MUSWELLBROOK ,2333,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,147 BRIDGE STREET,GANSW712071541,2,MUSWELLBROOK,2333,0
5372,PETROL STATION,,AMPOL BOMADERRY,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,341 PRINCES HIGHWAY,BOMADERRY ,2541,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,341 PRINCES HIGHWAY,GANSW704170652,2,BOMADERRY,2541,6.7
5373,PETROL STATION,,METRO FUEL CROYDON PARK,METRO FUEL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,274 GEORGES RIVER ROAD,CROYDON PARK,2133,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,274 GEORGES RIVER ROAD,GANSW708988795,0,CROYDON PARK,2133,0
5374,PETROL STATION,,AMPOL WOOLWORTHS METRO NARRABEEN,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1509-1511 PITTWATER ROAD,NORTH NARRABEEN,2101,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,1509-1511 PITTWATER ROAD,GANSW710833376,0,NORTH NARRABEEN,2101,0
5375,PETROL STATION,,SHELL COOMA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,51 SHARP STREET,COOMA ,2630,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,51 SHARP STREET,GANSW712698774,1,COOMA,2630,0
5376,PETROL STATION,,SHELL CHIPPING NORTON,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,7 NEWBRIDGE ROAD,CHIPPING NORTON,2170,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,7 NEWBRIDGE ROAD,GANSW704420696,1,CHIPPING NORTON,2170,0
5377,PETROL STATION,,7-ELEVEN GREEN VALLEY,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,187 WILSON ROAD,GREEN VALLEY,2168,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,187 WILSON ROAD,GANSW704882076,2,GREEN VALLEY,2168,0.4
